Trained with audiocaption0

Epoch	train_loss	val_loss	epoch_time	learing_rate	time_stamp
1	4.69919	4.5461	107.844s	0.0001	2023-02-25 00:06:28
2	4.50542	4.32177	95.9772s	0.0001	2023-02-25 00:08:04
3	4.35495	4.13825	89.9205s	0.0001	2023-02-25 00:09:34
4	4.23347	3.99316	106.696s	0.0001	2023-02-25 00:11:21
5	4.13817	3.87925	109.611s	0.0001	2023-02-25 00:13:11
6	4.06651	3.79631	101.925s	0.0001	2023-02-25 00:14:53
7	3.99835	3.72352	104.621s	0.0001	2023-02-25 00:16:38
8	3.93797	3.66076	91.2913s	0.0001	2023-02-25 00:18:10
9	3.89389	3.62386	96.558s	0.0001	2023-02-25 00:19:47
10	3.85356	3.58455	102.687s	0.0001	2023-02-25 00:21:30
11	3.80842	3.53928	92.6362s	0.0001	2023-02-25 00:23:03
12	3.76851	3.48733	85.8s	0.0001	2023-02-25 00:24:29
13	3.73534	3.44968	98.8653s	0.0001	2023-02-25 00:26:08
14	3.70247	3.41531	107.375s	0.0001	2023-02-25 00:27:56
15	3.65503	3.37524	101.871s	0.0001	2023-02-25 00:29:38
16	3.62174	3.35515	101.923s	0.0001	2023-02-25 00:31:20
17	3.59566	3.3221	107.933s	0.0001	2023-02-25 00:33:08
18	3.54864	3.28479	93.8525s	0.0001	2023-02-25 00:34:42
19	3.52615	3.27418	107.762s	0.0001	2023-02-25 00:36:30
20	3.48766	3.23292	104.071s	0.0001	2023-02-25 00:38:15
21	3.46968	3.20768	89.8682s	0.0001	2023-02-25 00:39:45
22	3.42949	3.19184	104.24s	0.0001	2023-02-25 00:41:29
23	3.39733	3.17348	103.039s	0.0001	2023-02-25 00:43:13
24	3.37649	3.16513	101.574s	0.0001	2023-02-25 00:44:55
25	3.35027	3.12031	107.728s	0.0001	2023-02-25 00:46:43
26	3.32612	3.11304	73.7407s	0.0001	2023-02-25 00:47:57
27	3.27361	3.09998	87.3098s	0.0001	2023-02-25 00:49:24
28	3.24978	3.07903	103.678s	0.0001	2023-02-25 00:51:08
29	3.19867	3.07562	91.052s	0.0001	2023-02-25 00:52:39
30	3.17605	3.02311	84.44s	0.0001	2023-02-25 00:54:04
31	3.15423	3.0273	105.179s	0.0001	2023-02-25 00:55:50
32	3.12022	3.00947	102.42s	0.0001	2023-02-25 00:57:32
33	3.1018	2.97339	100.677s	0.0001	2023-02-25 00:59:13
34	3.09644	3.00336	106.457s	0.0001	2023-02-25 01:01:00
35	3.07948	3.0325	98.5148s	0.0001	2023-02-25 01:02:39
36	3.03743	2.99017	106.947s	0.0001	2023-02-25 01:04:26
37	3.02886	2.97231	106.432s	0.0001	2023-02-25 01:06:12
38	3.00573	2.9311	103.895s	0.0001	2023-02-25 01:07:56
39	2.96859	2.99122	106.945s	0.0001	2023-02-25 01:09:44
40	2.95211	2.93931	93.814s	0.0001	2023-02-25 01:11:18
41	2.92586	2.92242	91.2677s	0.0001	2023-02-25 01:12:49
42	2.91048	2.95078	92.2289s	0.0001	2023-02-25 01:14:22
43	2.88948	2.87928	88.6976s	0.0001	2023-02-25 01:15:50
44	2.87322	2.8836	104.14s	0.0001	2023-02-25 01:17:35
45	2.87497	2.94278	97.0129s	0.0001	2023-02-25 01:19:12
46	2.85674	2.86115	101.643s	0.0001	2023-02-25 01:20:54
47	2.822	2.8761	108.539s	0.0001	2023-02-25 01:22:43
48	2.80011	2.90185	107.718s	0.0001	2023-02-25 01:24:30
49	2.7878	2.87273	109.792s	0.0001	2023-02-25 01:26:20
50	2.75776	2.85527	93.6569s	0.0001	2023-02-25 01:27:54
51	2.758	2.85067	94.293s	0.0001	2023-02-25 01:29:29
52	2.73647	2.92551	94.7205s	0.0001	2023-02-25 01:31:04
53	2.74002	2.82175	105.221s	0.0001	2023-02-25 01:32:49
54	2.72842	2.8691	101.964s	0.0001	2023-02-25 01:34:31
55	2.69644	2.84699	87.7829s	0.0001	2023-02-25 01:35:59
56	2.66049	2.85135	108.298s	0.0001	2023-02-25 01:37:48
57	2.63999	2.79362	100.547s	0.0001	2023-02-25 01:39:28
58	2.64238	2.85566	104.279s	0.0001	2023-02-25 01:41:13
