Trained with audiocaption

Epoch	train_loss	val_loss	epoch_time	learing_rate	time_stamp
1	4.72142	4.54963	105.087s	0.0001	2023-02-25 03:36:28
2	4.53645	4.3502	91.4084s	0.0001	2023-02-25 03:38:00
3	4.41188	4.18525	93.997s	0.0001	2023-02-25 03:39:34
4	4.30779	4.06265	93.6076s	0.0001	2023-02-25 03:41:08
5	4.2188	3.96778	105.634s	0.0001	2023-02-25 03:42:54
6	4.15704	3.89497	100.474s	0.0001	2023-02-25 03:44:35
7	4.09671	3.83994	88.4425s	0.0001	2023-02-25 03:46:03
8	4.04517	3.78841	108.793s	0.0001	2023-02-25 03:47:52
9	3.99684	3.73576	95.4051s	0.0001	2023-02-25 03:49:28
10	3.93909	3.67837	104s	0.0001	2023-02-25 03:51:12
11	3.89535	3.61288	100.639s	0.0001	2023-02-25 03:52:53
12	3.84164	3.55433	89.4052s	0.0001	2023-02-25 03:54:23
13	3.77388	3.49805	90.8089s	0.0001	2023-02-25 03:55:54
14	3.74565	3.45679	107.725s	0.0001	2023-02-25 03:57:42
15	3.70847	3.40044	92.3989s	0.0001	2023-02-25 03:59:15
16	3.63206	3.34535	103.161s	0.0001	2023-02-25 04:00:58
17	3.60131	3.31921	111.132s	0.0001	2023-02-25 04:02:50
18	3.56655	3.25766	117.975s	0.0001	2023-02-25 04:04:48
19	3.52093	3.25948	139.369s	0.0001	2023-02-25 04:07:08
20	3.4803	3.20402	185.707s	0.0001	2023-02-25 04:10:13
21	3.43875	3.17826	206.219s	0.0001	2023-02-25 04:13:40
22	3.41172	3.16611	184.108s	0.0001	2023-02-25 04:16:44
23	3.36951	3.14454	92.0138s	0.0001	2023-02-25 04:18:17
24	3.34244	3.11026	116.178s	0.0001	2023-02-25 04:20:13
25	3.32541	3.08952	101.123s	0.0001	2023-02-25 04:21:54
26	3.26969	3.07685	97.4478s	0.0001	2023-02-25 04:23:32
27	3.23847	3.03276	89.691s	0.0001	2023-02-25 04:25:02
28	3.21215	3.04784	110.195s	0.0001	2023-02-25 04:26:53
29	3.19468	3.06622	113.697s	0.0001	2023-02-25 04:28:46
30	3.1745	3.05871	92.9721s	0.0001	2023-02-25 04:30:20
31	3.13395	3.03169	108.995s	0.0001	2023-02-25 04:32:09
32	3.12549	3.00435	107.028s	0.0001	2023-02-25 04:33:56
33	3.08358	3.00608	112.096s	0.0001	2023-02-25 04:35:49
34	3.06555	3.01064	106.248s	0.0001	2023-02-25 04:37:36
35	3.04999	2.99545	109.162s	0.0001	2023-02-25 04:39:25
36	3.00775	2.94833	102.551s	0.0001	2023-02-25 04:41:08
37	2.98845	2.98301	100.377s	0.0001	2023-02-25 04:42:49
38	2.97274	2.91379	94.3735s	0.0001	2023-02-25 04:44:24
39	2.95366	2.96845	87.7557s	0.0001	2023-02-25 04:45:52
40	2.93085	2.95151	109.929s	0.0001	2023-02-25 04:47:42
41	2.90251	2.87653	92.3402s	0.0001	2023-02-25 04:49:15
42	2.89197	2.92209	112.394s	0.0001	2023-02-25 04:51:07
43	2.86055	2.91635	108.265s	0.0001	2023-02-25 04:52:56
44	2.84729	2.86585	93.9311s	0.0001	2023-02-25 04:54:30
45	2.86216	2.86018	89.8953s	0.0001	2023-02-25 04:56:00
46	2.8198	2.88993	108.267s	0.0001	2023-02-25 04:57:48
47	2.77584	2.84064	100.875s	0.0001	2023-02-25 04:59:29
48	2.81001	2.84474	106.748s	0.0001	2023-02-25 05:01:17
49	2.75527	2.85604	104.811s	0.0001	2023-02-25 05:03:01
50	2.74346	2.83339	104.794s	0.0001	2023-02-25 05:04:46
51	2.70504	2.85793	101.154s	0.0001	2023-02-25 05:06:28
52	2.70929	2.85119	108.492s	0.0001	2023-02-25 05:08:16
53	2.67443	2.8233	98.986s	0.0001	2023-02-25 05:09:56
54	2.64889	2.83772	77.177s	0.0001	2023-02-25 05:11:13
55	2.65333	2.84832	104.298s	0.0001	2023-02-25 05:12:58
56	2.63293	2.87657	107.542s	0.0001	2023-02-25 05:14:45
57	2.61884	2.79846	106.16s	0.0001	2023-02-25 05:16:31
58	2.62642	2.81875	88.5252s	0.0001	2023-02-25 05:18:00
59	2.59744	2.89602	105.391s	0.0001	2023-02-25 05:19:46
60	2.60973	2.78158	101.942s	0.0001	2023-02-25 05:21:28
61	2.59781	2.81089	103.885s	0.0001	2023-02-25 05:23:12
62	2.56245	2.78832	101.482s	0.0001	2023-02-25 05:24:54
63	2.53286	2.79409	105.412s	0.0001	2023-02-25 05:26:39
64	2.53077	2.83464	106.057s	0.0001	2023-02-25 05:28:25
65	2.49498	2.81923	91.335s	0.0001	2023-02-25 05:29:57
66	2.46835	2.8335	100.936s	5e-05	2023-02-25 05:31:38
67	2.45179	2.78857	100.064s	5e-05	2023-02-25 05:33:18
68	2.46854	2.83593	105.009s	5e-05	2023-02-25 05:35:03
69	2.4543	2.80095	105.379s	5e-05	2023-02-25 05:36:49
70	2.43687	2.79608	101.713s	5e-05	2023-02-25 05:38:31
